source_path,type,size,SHA256,tracked_or_local,runtime_role,required_for_default_workflow,recreatable,provenance_status,redistribution_status,recommended_archive_path
C:\Users\brown\Documents\GitHub\Crystal-DB\data\candidates,GENERATED_INDEX_OR_OUTPUT,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,local_ignored_or_untracked,"generated cache, calibration, benchmark, or specialist corpus; directory tree: 0 files",no_or_workflow_specific,yes_from_database_or_acquisition,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/candidates
C:\Users\brown\Documents\GitHub\Crystal-DB\data\case_1.jsonl,BENCHMARK_CASES_OR_FIXTURE,527,8f84562407eb3838bde2e63ecc986e112b5122b90097eff5edb321f5f9202a22,local_ignored_or_untracked,"specialist database, benchmark cases, or transient fixture; single file",no_or_workflow_specific,source_dependent,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/case_1.jsonl
C:\Users\brown\Documents\GitHub\Crystal-DB\data\cases_labeled_200.jsonl,BENCHMARK_CASES_OR_FIXTURE,127641,fb8373471fecdf935ecd94fa17de53ef2653449689cc918eb4d516c979e689fb,local_ignored_or_untracked,"specialist database, benchmark cases, or transient fixture; single file",no_or_workflow_specific,source_dependent,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/cases_labeled_200.jsonl
C:\Users\brown\Documents\GitHub\Crystal-DB\data\cases_norm.jsonl,BENCHMARK_CASES_OR_FIXTURE,78698,188b481a5cdf96d13e1532d308bec7ee7a79eb1924c4ac4059f427eeae3ae26a,local_ignored_or_untracked,"specialist database, benchmark cases, or transient fixture; single file",no_or_workflow_specific,source_dependent,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/cases_norm.jsonl
C:\Users\brown\Documents\GitHub\Crystal-DB\data\cases_sampled_200.jsonl,BENCHMARK_CASES_OR_FIXTURE,112208,9d175ebbecd241d5e1bd4be46d2c7633a64b2386f7161363c5d01fa7439621d1,local_ignored_or_untracked,"specialist database, benchmark cases, or transient fixture; single file",no_or_workflow_specific,source_dependent,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/cases_sampled_200.jsonl
C:\Users\brown\Documents\GitHub\Crystal-DB\data\cases_sampled_200_labeled.jsonl,BENCHMARK_CASES_OR_FIXTURE,127641,fb8373471fecdf935ecd94fa17de53ef2653449689cc918eb4d516c979e689fb,local_ignored_or_untracked,"specialist database, benchmark cases, or transient fixture; single file",no_or_workflow_specific,source_dependent,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/cases_sampled_200_labeled.jsonl
C:\Users\brown\Documents\GitHub\Crystal-DB\data\cases_sampled_200_norm.jsonl,BENCHMARK_CASES_OR_FIXTURE,112575,b868dfadf7473c6db55d89f5a1c6b46cafb5f7befbb1559ea1bd300175b15464,local_ignored_or_untracked,"specialist database, benchmark cases, or transient fixture; single file",no_or_workflow_specific,source_dependent,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/cases_sampled_200_norm.jsonl
C:\Users\brown\Documents\GitHub\Crystal-DB\data\gate_out,GENERATED_INDEX_OR_OUTPUT,648,819a8f7abe98c8a21132ab782a36d2f021a3529a076ceb1117868167e9695d3c,local_ignored_or_untracked,"generated cache, calibration, benchmark, or specialist corpus; directory tree: 1 files",no_or_workflow_specific,yes_from_database_or_acquisition,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/gate_out
C:\Users\brown\Documents\GitHub\Crystal-DB\data\gold,GENERATED_INDEX_OR_OUTPUT,1659,55053fb800ff60fc73b4fa3ddcd442bd77449173892297b9c2e0da37558980e6,local_ignored_or_untracked,"generated cache, calibration, benchmark, or specialist corpus; directory tree: 6 files",no_or_workflow_specific,yes_from_database_or_acquisition,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/gold
C:\Users\brown\Documents\GitHub\Crystal-DB\data\mp_stable_10k,CIF_CORPUS,25184635,c3e686bb76ccf0f87391666f1ef257f336392b38ec990819876b70f9c5be1420,local_ignored_or_untracked,canonical retrieval CIF corpus; directory tree: 10001 files,yes,only_from_original_acquisition,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/mp_stable_10k
C:\Users\brown\Documents\GitHub\Crystal-DB\data\nasicon_audit,GENERATED_INDEX_OR_OUTPUT,297258,1c3c4cbc93bdc7c3345ac27ed3960f9c20ab9e431906245fa9ec6df12c709174,local_ignored_or_untracked,"generated cache, calibration, benchmark, or specialist corpus; directory tree: 85 files",no_or_workflow_specific,yes_from_database_or_acquisition,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/nasicon_audit
C:\Users\brown\Documents\GitHub\Crystal-DB\data\nasicon_pair_completion_candidates.db,RUNTIME_DATABASE,1015808,c5d361b011b52ffbf4de4224ea902e3e51fd9a0c5dc7e9f8374494d79c81bb2e,local_ignored_or_untracked,"specialist database, benchmark cases, or transient fixture; single file",no_or_workflow_specific,yes_from_source_corpus,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/nasicon_pair_completion_candidates.db
C:\Users\brown\Documents\GitHub\Crystal-DB\data\nasicon_reference_candidates.db,RUNTIME_DATABASE,397312,f8866392b262ff0165fbcd93b8789c298ef9cd374144cffd916db91a759befa5,local_ignored_or_untracked,"specialist database, benchmark cases, or transient fixture; single file",no_or_workflow_specific,yes_from_source_corpus,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/nasicon_reference_candidates.db
C:\Users\brown\Documents\GitHub\Crystal-DB\data\nasicon_topology_candidates.db,RUNTIME_DATABASE,3407872,f4b4faf8be686f484d77e5f6575b53595527377c7ee1d375c6357ec8d41fb0b1,local_ignored_or_untracked,"specialist database, benchmark cases, or transient fixture; single file",no_or_workflow_specific,yes_from_source_corpus,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/nasicon_topology_candidates.db
C:\Users\brown\Documents\GitHub\Crystal-DB\data\nasicon_v2_enrichment_20260803,GENERATED_INDEX_OR_OUTPUT,253154,5d2a324eab2242bd194a3db7ec6b275f98cfb011f105b657b15117f884ed0990,local_ignored_or_untracked,"generated cache, calibration, benchmark, or specialist corpus; directory tree: 80 files",no_or_workflow_specific,yes_from_database_or_acquisition,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/nasicon_v2_enrichment_20260803
C:\Users\brown\Documents\GitHub\Crystal-DB\data\nasicon_v2_enrichment_20260803.db,RUNTIME_DATABASE,614400,6f8b567821f552f92550accbf6a6a37b8f909917a7b08c8246e6df848a011aec,local_ignored_or_untracked,"specialist database, benchmark cases, or transient fixture; single file",no_or_workflow_specific,yes_from_source_corpus,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/nasicon_v2_enrichment_20260803.db
C:\Users\brown\Documents\GitHub\Crystal-DB\data\paper_experiment_3_halide_perovskite_v1.db,RUNTIME_DATABASE,1482752,cf16254e36773c2a4af8451b32deb8481cb2722722665f33fab807f1694207f9,local_ignored_or_untracked,"specialist database, benchmark cases, or transient fixture; single file",no_or_workflow_specific,yes_from_source_corpus,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/paper_experiment_3_halide_perovskite_v1.db
C:\Users\brown\Documents\GitHub\Crystal-DB\data\phase6_mp_10k.db,RUNTIME_DATABASE,881799168,572448fbcb7716d315246f24dd427064715fd56839d0b4450cc6a8231a0e5dc0,local_ignored_or_untracked,canonical retrieval database; single file,yes,yes_from_source_corpus,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/phase6_mp_10k.db
C:\Users\brown\Documents\GitHub\Crystal-DB\data\result_common_families.db,RUNTIME_DATABASE,1011712,239663952fe3300cb97d3cdca3e1a1c9d83ae6c53db01e44c28f4ec62fe8eb09,local_ignored_or_untracked,"specialist database, benchmark cases, or transient fixture; single file",no_or_workflow_specific,yes_from_source_corpus,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/result_common_families.db
C:\Users\brown\Documents\GitHub\Crystal-DB\data\result_datasets,GENERATED_INDEX_OR_OUTPUT,261171,d72590f14cac8e26679dd00fb076b80af65482df02b462a8784c1d87a6cf3732,local_ignored_or_untracked,"generated cache, calibration, benchmark, or specialist corpus; directory tree: 68 files",no_or_workflow_specific,yes_from_database_or_acquisition,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/result_datasets
C:\Users\brown\Documents\GitHub\Crystal-DB\data\result_halide_perovskite.db,RUNTIME_DATABASE,729088,601639a94be58cbed1e2178fc9295ed2c7eff63029d0eac1e4a17fe6bce1754c,local_ignored_or_untracked,"specialist database, benchmark cases, or transient fixture; single file",no_or_workflow_specific,yes_from_source_corpus,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/result_halide_perovskite.db
C:\Users\brown\Documents\GitHub\Crystal-DB\data\result_hard_intent.db,RUNTIME_DATABASE,618496,c65359ae04842939db21ac84751c746e45beeefc47a065e08df3bd5ea76f2cf2,local_ignored_or_untracked,"specialist database, benchmark cases, or transient fixture; single file",no_or_workflow_specific,yes_from_source_corpus,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/result_hard_intent.db
C:\Users\brown\Documents\GitHub\Crystal-DB\data\test.txt,BENCHMARK_CASES_OR_FIXTURE,1,2d711642b726b04401627ca9fbac32f5c8530fb1903cc4db02258717921a4881,tracked,"specialist database, benchmark cases, or transient fixture; single file",no_or_workflow_specific,source_dependent,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/test.txt
C:\Users\brown\Documents\GitHub\Crystal-DB\data\tmp_pipeline.db,RUNTIME_DATABASE,270336,01e84e6a5e039825d0d2746de9f270686b688624d2c74c2335dde03d66d14001,local_ignored_or_untracked,"specialist database, benchmark cases, or transient fixture; single file",no_or_workflow_specific,yes_from_source_corpus,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/tmp_pipeline.db
C:\Users\brown\Documents\GitHub\Crystal-DB\data\tmp_pipeline2.db,RUNTIME_DATABASE,278528,1bdc51e798d362628865f3995ed5a4d42beacabb1c604c691c119eab014effa5,local_ignored_or_untracked,"specialist database, benchmark cases, or transient fixture; single file",no_or_workflow_specific,yes_from_source_corpus,REQUIRES_TICKET_25_REVIEW,PENDING_TICKET_25,data/crystal_db/tmp_pipeline2.db
C:\Users\brown\Documents\GitHub\Crystal-DB\artifacts,GENERATED_OUTPUT,802471896,DEFERRED_TICKET_25_PER_FILE_SELECTION,mixed_tracked_and_local,generated reports/benchmarks (119569 files); not a default runtime database,no,mixed,REQUIRES_CANONICAL_SUBSET_SELECTION,PENDING_TICKET_25,data/crystal_db/evidence/<approved-subset>
